Usuario,Caso,Marcador,Tarjeta,Fecha y hora de transacci—n,Monto,Comercio,Modo de Entrada,Ind Com Elec
999bgsa,162257001,NF,1234567890112138,01/11/21 01:00 PM,1986.18,UpBet,E,6
999bgsa,162257305,NF,1234567890112139,01/11/21 01:08 PM,4165.66,Skrill0944,E,6
999bgsa,162257327,NF,1234567890112140,01/11/21 01:09 PM,2921.35,GOOGLE *GSUITE_gasdeca,E,7
999bgsa,162257333,NF,1234567890112141,01/11/21 01:09 PM,5999,PAYPAL *WALMART MX,E,7
999bgsa,162257357,NF,1234567890112142,01/11/21 01:09 PM,20,GOOGLE *TEMPORARY HOLD,E,7
999bgsa,162257357,NF,1234567890112155,01/11/21 01:09 PM,720,GOOGLE *GSUITE_ranchoe,E,7
999bgsa,162257525,NF,1234567890112158,01/11/21 01:13 PM,0,WWW.EASYBROKER.COM,E,7
999bgsa,162257525,NF,1234567890112137,01/11/21 01:13 PM,1390,WWW.EASYBROKER.COM,E,7
999bgsa,162257613,NF,1234567890112138,01/11/21 07:21 AM,266,NETFLIX,K,
999bgsa,162257613,NF,1234567890112139,01/11/21 01:16 PM,20,AME*UBER I,E,7
999bgsa,162257613,NF,1234567890112140,01/11/21 01:18 PM,507,ST*UBER EATS,K,0
999bgsa,162258077,NF,1234567890112141,01/11/21 01:25 PM,20,AME*MICROSOFT I,E,7
999bgsa,162258077,NF,1234567890112142,01/11/21 01:27 PM,454.46,AME*MICROSOFT CR,K,
999bgsa,162258483,NF,1234567890112155,01/11/21 10:00 AM,999,MERPAGO*XIAOMIMX,E,7
999bgsa,162258483,NF,1234567890112158,01/11/21 01:35 PM,12,PAYPAL *4029357733,E,7
999bgsa,162258483,NF,1234567890112137,01/11/21 01:38 PM,909.1,PAYPAL3,K,
999bgsa,162255997,NF,1234567890112138,01/11/21 12:34 PM,1333,GOB EDO MEX MU,E,6
999bgsa,162256805,NF,1234567890112139,01/11/21 12:55 PM,2598,AMAZON MX MSI,E,7
999bgsa,162260105,NF,1234567890112140,01/11/21 02:15 PM,11224.46,GOOGLE*GSUITE SINERGIA,E,7
999bgsa,162257183,NF,1234567890112141,01/11/21 01:05 PM,13985.6,WALMART SUPER 1,E,7
999bgsa,162257293,NF,1234567890112142,01/11/21 01:07 PM,0,FACEBK *ADS,E,7
999bgsa,162260505,NF,1234567890112155,01/11/21 02:24 PM,20,MICROSOFT VERIFICA TAR,E,7
999bgsa,162260505,NF,1234567890112158,01/11/21 02:24 PM,169.99,AME*MICROSOFT,E,7
999bgsa,162260807,NF,1234567890112137,01/11/21 02:32 PM,2879.7,GOOGLE*GSUITE APTIA.CO,E,7
999bgsa,162257859,NF,1234567890112138,01/11/21 01:20 PM,464,ST*STRIPE 2,K,0
999bgsa,162257883,NF,1234567890112139,01/11/21 01:21 PM,12,PAYPAL1,K,1
999bgsa,162258021,NF,1234567890112140,01/11/21 01:24 PM,5924.98,VIVA AEROBUS CIB,E,7
999bgsa,162258341,NF,1234567890112141,01/11/21 12:04 PM,86.25,GOOGLE *GSUITE_idesk.m,E,7
999bgsa,162258341,NF,1234567890112142,01/11/21 01:32 PM,5400,MICROSOFT - MPN - PC,E,7
999bgsa,162258419,NF,1234567890112155,01/11/21 10:18 AM,392.9,LA ENCANTADA,V,
999bgsa,162258419,NF,1234567890112158,01/11/21 12:55 PM,87.5,OXXO DERRAMADERO,V,
999bgsa,162258419,NF,1234567890112134,01/11/21 01:34 PM,779,PPRO MX*NORTON,E,7
999bgsa,162259067,NF,1234567890112130,01/11/21 01:50 PM,0,AMAZON.COM,E,7
999bgsa,162259067,NF,1234567890112135,01/11/21 01:54 PM,0,AMAZON.COM,E,7
999bgsa,162259161,NF,1234567890112136,01/11/21 01:52 PM,1224,MELALEUCA CR,K,
999bgsa,162259175,NF,1234567890112137,01/11/21 01:53 PM,20,GOOGLE *TEMPORARY HOLD,E,7
999bgsa,162259175,NF,1234567890112138,01/11/21 02:28 PM,20,GOOGLE *TEMPORARY HOLD,E,7
